model,year,Price,transmission,mileage,fuelType,tax,mpg,engineSize
 Hero,2017,6250,Manual,15725,Petrol,150,55.2,1
 Honda,2016,8250,Automatic,26202,Petrol,20,62.2,2
 Hero,2016,5500,Manual,29926,Petrol,20,55.2,1
 Tvs,2017,8400,Automatic,25952,Petrol,125,67.2,2
 Yamaha,2019,8650,Manual,1998,Petrol,125,29.6,1
 Hero,2016,6950,Automatic,22260,Petrol,20,58.9,1
 Honda,2016,6625,Automatic,76788,Petrol,20,61,2
 Tvs,2016,5875,Manual,75185,Petrol,20,70.6,2
 Yamaha,2015,5100,Manual,26112,Petrol,20,60.1,1
 Hero,2016,6000,Manual,22251,Petrol,20,55.2,1
 Yamaha,2017,8050,Manual,28955,Petrol,125,58.9,1
 Honda,2016,8250,Automatic,52198,Petrol,125,57.6,2
 Bajaj,2016,8500,Manual,22915,Petrol,125,52.2,2
 Yamaha,2017,8200,Manual,21695,Petrol,20,58.9,1
 Honda,2015,7700,Manual,27228,Petrol,20,61,2
 Yamaha,2017,7250,Automatic,26156,Petrol,125,58.9,1
 Bajaj,2016,7850,Automatic,28296,Petrol,125,52.2,2
 Yamaha,2012,6950,Automatic,20516,Petrol,20,56.5,1
 Suzuki,2016,9500,Automatic,27652,Petrol,200,27.1,2
 Bajaj,2012,8500,Manual,22110,Petrol,125,27.9,1
 Royal Enfield,2017,8650,Automatic,27100,Petrol,125,67.2,2
 Suzuki,2016,10100,Automatic,22712,Petrol,200,27.1,2
 Royal Enfield,2017,11250,Automatic,21629,Petrol,125,58.9,2
 Honda,2015,8750,Automatic,62728,Petrol,150,52.2,2
 Suzuki,2016,10000,Automatic,22789,Petrol,200,27.1,2
 Tvs,2017,9250,Automatic,17218,Petrol,125,62.8,2
 Royal Enfield,2017,9750,Automatic,22200,Petrol,125,61,2
 Hero,2018,7900,Manual,10792,Petrol,125,56.5,1
 Tvs,2018,8600,Automatic,25128,Petrol,125,70.6,2
 Honda,2015,7000,Manual,61176,Petrol,20,62.8,2
 Hero,2015,4750,Automatic,52752,Petrol,0,76.2,2
 Bajaj,2017,8250,Manual,21269,Petrol,125,51,1
 Bajaj,2012,7500,Automatic,29190,Petrol,205,27.9,2
 Bajaj,2017,8000,Automatic,27282,Petrol,150,27.9,1
 Bajaj,2016,8450,Automatic,20501,Petrol,150,51,2
 Bajaj,2012,6150,Automatic,22195,Petrol,200,27.9,2
 Hero,2017,5400,Manual,21227,Petrol,125,67.2,1
 Honda,2016,9700,Automatic,22020,Petrol,125,58.9,2
 Tvs,2017,8000,Manual,29062,Petrol,125,70.6,2
 Yamaha,2017,8550,Manual,29525,Petrol,125,65.7,2
 Yamaha,2015,5650,Manual,75619,Petrol,20,68.9,2
 Bajaj,2016,8600,Automatic,29602,Petrol,160,50.2,2
 Bajaj,2017,10150,Automatic,22908,Petrol,125,51,2
 Royal Enfield,2012,6600,Automatic,82872,Petrol,125,58.9,2
 Bajaj,2016,7600,Automatic,58750,Petrol,125,27.9,1
 Yamaha,2019,7850,Manual,2029,Petrol,125,29.6,1
 Honda,2018,8300,Automatic,22958,Petrol,125,50.2,2
 Tvs,2017,7200,Automatic,22097,Petrol,125,72.2,2
 Royal Enfield,2017,10100,Automatic,12057,Petrol,125,52.2,2
 Jawa,2017,11850,Automatic,20278,Petrol,125,28.7,2
 Tvs,2016,6375,Manual,52561,Petrol,0,72.2,2
 Honda,2015,6500,Automatic,21602,Petrol,20,67.2,2
 Bajaj,2016,7950,Manual,22011,Petrol,125,29.6,1
 Bajaj,2016,7500,Manual,29122,Petrol,20,60.1,2
 Suzuki,2015,7350,Automatic,89282,Petrol,205,27.1,2
 Yamaha,2015,7500,Automatic,56291,Petrol,200,22.8,2
 Honda,2016,8000,Automatic,27767,Petrol,20,61,2
 Hero,2012,5500,Manual,22215,Petrol,125,52.2,1
 Yamaha,2016,5100,Manual,66269,Petrol,0,82.1,2
 Honda,2016,9250,Manual,22110,Petrol,20,61,2
 Hero,2012,3500,Manual,76269,Petrol,0,72.2,2
 Yamaha,2016,5300,Manual,27820,Petrol,20,70.6,2
 Yamaha,2017,8000,Manual,26229,Petrol,20,67.2,2
 Bajaj,2017,7500,Manual,22898,Petrol,125,57.7,2
 Bajaj,2017,7000,Manual,67161,Petrol,150,51,1
 Yamaha,2018,9475,Manual,17992,Petrol,150,52.2,2
 Tvs,2016,5100,Manual,97220,Petrol,20,70.6,2
 Hero,2017,5850,Manual,19268,Petrol,150,67.2,1
 Yamaha,2012,5750,Automatic,51221,Petrol,125,50.2,2
 Hero,2016,5400,Manual,18181,Petrol,0,67.2,1
 Yamaha,2016,6250,Manual,19292,Petrol,20,67.2,2
 Honda,2016,8300,Manual,22808,Petrol,20,61,2
 Yamaha,2017,6550,Manual,25965,Petrol,125,65.7,2
 Yamaha,2016,4150,Manual,88215,Petrol,20,68.9,2
 Yamaha,2019,8000,Manual,5702,Petrol,125,29.6,1
 Tvs,2017,8450,Manual,10959,Petrol,125,51,1
 Suzuki,2016,9800,Automatic,20201,Petrol,200,27.1,2
 Bajaj,2017,10900,Automatic,19219,Petrol,125,20.2,2
 Honda,2017,8100,Manual,22582,Petrol,125,61,2
 Royal Enfield,2017,9350,Manual,20052,Petrol,125,29.6,2
 Bajaj,2016,8050,Manual,16666,Petrol,20,60.1,2
